iter	Logloss
0	0.6615361843
1	0.6351513853
2	0.6115454414
3	0.5897312943
4	0.5737631992
5	0.5574173611
6	0.5434910074
7	0.5300183147
8	0.5193648124
9	0.5092151543
10	0.4995411699
11	0.4926891007
12	0.4861610844
13	0.4799558273
14	0.4748889655
15	0.4692190563
16	0.4651420577
17	0.4609760652
18	0.4571554967
19	0.453169037
20	0.4501230554
21	0.4478602983
22	0.4457615143
23	0.4430834998
24	0.4409239025
25	0.4387787417
26	0.4371286327
27	0.4347400106
28	0.4331186414
29	0.4313819459
30	0.4303226631
31	0.4291173804
32	0.4279966936
33	0.4269648028
34	0.4260579331
35	0.4248886752
36	0.4242018706
37	0.4233772494
38	0.4225456316
39	0.4215228351
40	0.4205923938
41	0.4201883389
42	0.4195184759
43	0.4185691832
44	0.4178881555
45	0.4173487801
46	0.4169750792
47	0.4165121355
48	0.4159657531
49	0.4154271112
50	0.4150354616
51	0.414563843
52	0.4142339879
53	0.4134525926
54	0.4130575037
55	0.4125614479
56	0.4122124563
57	0.4119996806
58	0.4115936651
59	0.4112419205
60	0.4109571454
61	0.4105081689
62	0.410197571
63	0.4098361369
64	0.4094040877
65	0.4092437269
66	0.4090390164
67	0.4087673677
68	0.4085464063
69	0.4082593025
70	0.4080242205
71	0.4078114424
72	0.4074614495
73	0.4072129585
74	0.4070286606
75	0.4067890342
76	0.4065133367
77	0.4062724948
78	0.4061184547
79	0.4059163192
80	0.4057165888
81	0.4054231847
82	0.4051645057
83	0.4050090274
84	0.404871084
85	0.4047052234
86	0.404513796
87	0.4042699862
88	0.404069856
89	0.4038340996
90	0.4036113709
91	0.4034353449
92	0.4032551993
93	0.4031223067
94	0.402883953
95	0.4027713752
96	0.4026079245
97	0.4024941889
98	0.4023883104
99	0.4020924078
