iter	Passed	Remaining
0	0	93
1	1	87
2	2	83
3	3	85
4	4	83
5	5	83
6	6	81
7	6	79
8	7	78
9	8	77
10	9	75
11	10	75
12	11	74
13	11	73
14	12	71
15	13	71
16	14	70
17	15	69
18	16	68
19	17	68
20	17	67
21	18	67
22	20	67
23	21	66
24	21	65
25	22	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	33	53
38	33	52
39	34	52
40	35	51
41	36	50
42	37	49
43	38	48
44	39	47
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	48	37
56	49	37
57	49	36
58	51	35
59	52	34
60	53	33
61	53	33
62	55	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	14
83	74	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	81	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	87	0
